зерно,концентраты,корнаж,кукуруза,лен,подсолнечник,пшеница,рапс,свекла,сенаж,сено,силос,солома,сорго,соя,ячмень,target
0.0,12.5,0.0,13.67,0.0,0.0,0.0,5.39,3.89,13.0,0.0,27.78,7.22,0,16.56,0.0,3.31
0.0,12.4,0.0,20.0,0.0,0.0,0.0,5.8,5.2,14.04,0.0,24.96,0.0,0,17.6,0.0,3.79
0.0,12.4,0.0,20.0,0.0,0.0,0.0,5.8,5.2,14.04,0.0,24.96,0.0,0,17.6,0.0,3.91
0.0,10.4,0.0,20.2,0.0,0.0,0.0,6.8,5.4,14.200000000000001,0.0,25.2,2.6,0,15.200000000000001,0.0,4.32
0.0,10.4,0.0,20.2,0.0,0.0,0.0,6.8,5.4,14.200000000000001,0.0,25.2,2.6,0,15.200000000000001,0.0,4.45
0.0,5.1499999999999995,0.0,9.96,0.0,0.0,0.0,9.57,8.370000000000001,11.56,0.0,27.9,0.0,0,10.76,16.74,3.96
0.0,5.1499999999999995,0.0,9.96,0.0,0.0,0.0,9.57,8.370000000000001,11.56,0.0,27.9,0.0,0,10.76,16.74,3.94
0.0,4.32,0.0,9.92,0.0,0.0,0.0,9.53,9.129999999999999,13.1,0.0,27.79,0.0,0,9.13,17.07,4.01
0.0,4.32,0.0,9.92,0.0,0.0,0.0,9.53,9.129999999999999,13.1,0.0,27.79,0.0,0,9.13,17.07,4.24
0.0,17.08,0.0,17.4,0.0,0.0,0.0,8.8,1.6,14.32,0.0,22.0,0.0,0,13.2,5.6,3.8
0.0,18.34,11.46,0.0,0.0,0.0,0.0,8.8,5.0,12.0,0.0,28.8,0.0,0,11.6,4.0,3.98
0.0,18.2,12.0,0.0,0.0,0.0,0.0,5.6,6.2,13.2,0.0,24.0,0.0,0,12.8,8.0,4.4
0.0,16.74,10.0,5.8,0.0,0.0,0.0,9.6,5.66,14.6,0.0,28.0,0.0,0,9.6,0.0,3.89
0.0,18.16,11.88,0.0,0.0,0.0,0.0,6.73,4.5600000000000005,11.68,0.0,27.59,1.19,0,11.88,6.34,3.98
0.0,17.14,0.0,12.6,0.0,0.0,0.0,7.2,3.2,20.16,0.0,27.29,0.0,0,12.4,0.0,4.39
0.0,10.68,6.14,0.0,0.0,0.0,0.0,3.41,0.0,40.91,0.0,33.18,5.68,0,0.0,0.0,3.67
0.0,12.4,0.0,18.0,0.0,0.0,0.0,4.8,9.2,14.0,0.0,26.4,2.0,0,13.2,0.0,3.9
0.0,17.2,0.0,14.0,0.0,0.0,0.0,7.6,4.4,13.0,0.0,30.2,5.2,0,8.4,0.0,3.95
0.0,17.2,0.0,15.0,0.0,0.0,0.0,7.8,5.6,15.4,0.0,28.6,2.0,0,8.4,0.0,3.85
0.0,10.21,0.0,16.67,0.0,0.0,0.0,12.5,9.3,15.91,0.0,30.83,0.0,0,4.58,0.0,3.36
0.0,10.21,0.0,16.67,0.0,0.0,0.0,12.5,9.3,15.92,0.0,30.83,0.0,0,4.58,0.0,3.22
0.0,10.21,0.0,14.79,0.0,0.0,0.0,15.83,9.17,15.83,0.0,32.92,0.0,0,1.25,0.0,3.62
0.0,1.0,0.0,12.5,0.0,0.0,0.0,9.17,7.5,20.67,14.58,34.58,0.0,0,0.0,0.0,3.44
0.0,18.130000000000003,11.32,0.0,0.0,0.0,0.0,8.7,4.9399999999999995,11.86,0.0,28.46,1.19,0,11.46,3.95,3.59
0.0,18.16,9.26,0.0,0.0,0.0,0.0,6.3,5.27,11.11,0.0,30.82,0.0,0,12.96,6.11,3.89
0.0,16.74,10.0,5.8,0.0,0.0,0.0,9.6,5.66,14.6,0.0,28.0,0.0,0,9.6,0.0,4.06
0.0,18.2,11.2,0.0,0.0,0.0,0.0,5.68,6.6,11.120000000000001,0.0,28.0,0.0,0,13.2,6.0,4.53
0.0,18.130000000000003,11.86,0.0,0.0,0.0,0.0,7.51,4.21,11.66,0.0,27.27,1.19,0,11.86,6.32,3.98
0.0,17.15,0.0,12.0,0.0,0.0,0.0,7.2,6.4,18.36,0.0,27.68,0.0,0,11.2,0.0,4.34
0.0,4.56,5.2,15.0,0.0,0.0,3.56,6.6,9.8,12.28,0.0,24.799999999999997,0.0,0,11.2,7.0,4.12
0.0,4.48,5.4,35.599999999999994,0.0,0.0,2.8,4.8,8.4,16.52,0.0,0.0,2.0,0,11.6,8.4,4.08
0.0,17.92,6.0,11.4,0.0,0.0,0.0,6.4,6.0,24.6,0.0,18.48,0.0,0,9.2,0.0,3.54
6.8,4.64,7.2,8.0,0.0,0.0,2.8,6.0,8.280000000000001,16.08,0.0,18.0,2.2,0,11.6,8.4,4.12
0.0,2.77,0.0,21.43,0.0,0.0,0.0,5.56,7.94,14.29,0.0,28.57,0.0,0,9.92,9.52,3.57
0.0,14.34,10.01,2.0,0.0,0.0,0.0,8.01,7.0,12.01,0.0,27.619999999999997,0.0,0,12.01,7.01,3.8
0.0,4.800000000000001,8.8,16.4,0.0,0.0,4.0,6.2,7.2,13.8,0.0,26.8,0.0,0,12.0,0.0,3.6
0.0,4.800000000000001,9.2,16.0,0.0,0.0,4.0,6.2,7.2,13.8,0.0,26.8,0.0,0,12.0,0.0,4.3
0.0,14.34,10.01,4.4,0.0,0.0,4.0,9.21,5.0,12.61,0.0,28.42,0.0,0,12.01,0.0,3.9
0.0,14.64,12.0,0.0,0.0,0.0,0.0,5.6,7.4,14.16,0.0,25.2,0.0,0,12.0,9.0,4.0
0.0,14.64,12.0,0.0,0.0,0.0,0.0,5.6,7.4,14.0,0.0,25.16,0.0,0,12.0,9.2,4.0
0.0,4.800000000000001,8.8,16.4,0.0,0.0,4.0,6.2,7.2,13.8,0.0,26.8,0.0,0,12.0,0.0,4.57
0.0,4.800000000000001,9.2,16.0,0.0,0.0,4.0,6.2,7.2,13.8,0.0,26.8,0.0,0,12.0,0.0,4.29
