Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
Солома пшеничная 2024 /|96,100|0,520|0,500|1,22|2,00
Сенаж 2221.02.08.01.1.24 /|35,500|8,873|3,150|20,79|12,59
Силос 2221.03.05.02.1.24 /|36,900|15,854|5,850|37,14|23,39
Шрот соевый. 47%, ЭНАПКХ|89,750|3,008|2,700|7,05|10,80
Шрот рапсовый. 38%,|91,800|1,852|1,700|4,34|6,80
Кукуруза. 70%,сухая, мелк.|87,540|5,940|5,200|13,92|20,79
Патока свекловичная, сах.49%, ЭНАПКХ v|79,500|1,635|1,300|3,83|5,20
Комбикорм №11/ 31.10.2024|91,933|5,004|4,600|11,72|18,39
