Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/ Т онна
с-с 21.03.25\5204.01.05.02.1.24 Болдасовка|39,700|8,564|3,400|18,44|13,61|3 573
с-с 25.03.25\5901.01.05.02.1.24 Аристово|32,000|10,938|3,500|23,56|14,01|2 880
с-ж 21.03.25\5313.02.01.01.2.24|34,700|8,646|3,000|18,62|12,01|4 858
Шрот соевый. 47%, ЭНАПКХ|89,750|3,343|3,000|7,20|12,01|47 400
Жмых рапсовый. 39%, ЭНАПКХ|95,000|2,105|2,000|4,53|8,01|35 020
Ячмень.60%, сухой, средний помол,|89,000|1,966|1,750|4,23|7,01|13 110
к-ж 23.12.24\5204.01.05.07.1.24 Болдасовка|57,900|4,318|2,500|9,30|10,01|6 369
Кукуруза. 70%,сухая, мелк. помол,|87,540|0,571|0,500|1,23|2,00|14 320
Жом свекловичный сухой. гр, ЭНАПКХ v2|91,450|1,258|1,150|2,71|4,60|11 730
Патока свекловичная, сахар 55%,|79,500|0,755|0,600|1,63|2,40|4 360
Жир защищеный. 99%, фракц.,ЭНАПКХ|99,500|0,302|0,300|0,65|1,20|173 620
КК №10|89,444|3,669|3,282|7,90|13,14|19 151
