Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
Силос 3636.07.05.02.1.24|30,100|20,731|6,240|43,77|24,96
Люцерна 3637.01.01.01.1.24|41,500|5,446|2,260|11,50|9,04
Тритикале 3636.01.12.01.1.24|31,100|4,019|1,250|8,49|5,00
Патока свекловичная, сахар|79,500|1,635|1,300|3,45|5,20
Шрот соевый. 49%, ЭНАПКХ|89,750|3,198|2,870|6,75|11,48
Шрот рапсовый. 38%, ЭНАПКХ|91,800|1,634|1,500|3,45|6,00
Жом свекловичный сухой. гр,|91,450|1,542|1,410|3,26|5,64
Кукуруза. 70%,сухая средн. помол, ЭНАПКХ|87,540|5,792|5,070|12,23|20,28
Комбикорм 11.3.3 (без пшен.) _Сентябрь 12.03.25|92,199|3,362|3,100|7,10|12,40
Общие значения||47,359|25,000||52,8 %СВ
