Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
Солома ЭНА Восточное -|82,990|1,506|1,250|2,73|5,68
Силос 3636.07.05.02.1.24 -|32,500|22,462|7,300|40,72|33,18
Люцерна 3637.04.01.01.3.24 -|35,800|25,140|9,000|45,57|40,91
Корнаж 2501.09.05.07.1.23 -|50,500|2,673|1,350|4,85|6,14
Шрот рапсовый. 38%, ЭНАПКХ|91,800|0,817|0,750|1,48|3,41
Комбикорм 10.3.3 (без пшен.)|_Сентябрь 09.09.2491,440|2,570|2,350|4,66|10,68
