Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/кг
Солома пшеничная ЛБ|74,000|0,676|0,500|1,53|2,00|3450
С-Ж 2242.02.08.01.1.24 \ 12.03.25|35,300|7,649|2,700|17,37|10,80|4942
КК 10 От 17.09.24 ячмень|92,397|3,247|3,000|7,37|12,00|49427
Жом свекловичный сухой. гр, ЭНАПКХ v2|91,450|1,422|1,300|3,23|5,20|10000
Кукуруза. 70%,сухая, мелк. помол|87,540|5,712|5,000|12,97|20,00|13550
Шрот соевый. 47%, ЭНАПКХ|89,750|3,231|2,900|7,34|11,60|44200
Жмых рапсовый. 36%, ЭНАПКХ|95,000|2,105|2,000|4,78|8,00|23410
Патока свекловичная, сах.49%, ЭНАПКХ v2|79,500|1,635|1,300|3,71|5,20|3060
С-С 2242.03.05.02.1.24 \ 12.03.25|34,300|18,367|6,300|41,70|25,20|3087
