Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/ Т онна
Солома пшеничная 2024|96,100|0,520|0,500|1,19|2,00|5 000,0
Сенаж 2211.02.01.01.2.24|39,200|8,036|3,150|18,37|12,60|4 704,0
Силос 2211.03.05.02.1.24|33,000|17,727|5,850|40,54|23,40|2 970,0
Шрот соевый. 47%, ЭНАПКХ|89,750|3,231|2,900|7,39|11,60|48 310,0
Шрот рапсовый. 38%, ЭНАПКХ|91,800|1,525|1,400|3,49|5,60|19 600,0
Кукуруза. 70%,сухая, мелк.|87,540|6,054|5,300|13,84|21,20|14 570,0
Патока свекловичная, сах.49%, ЭНАПКХ|79,500|1,635|1,300|3,74|5,20|3 360,0
Комбикорм №11/ 31.10.2024|91,933|5,004|4,600|11,44|18,40|31 172,4
