Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
Пшеничная солома|86,200|0,696|0,600|1,56|2,40
3635.01.01.01.1.23 / 13.03.2024|35,000|10,000|3,500|22,36|14,00
2531.05.05.02.1.23 / 13.03.2024|37,200|18,011|6,700|40,27|26,80
Кукуруза. 70%,сухая средн.|87,540|5,255|4,600|11,75|18,40
Комбикорм №11 ЭНАС|91,825|3,376|3,100|7,55|12,40
Шрот соевый. 49%, ЭНАПКХ|89,750|3,008|2,700|6,73|10,80
Шрот рапсовый. 38%, ЭНАПКХ|91,800|1,307|1,200|2,92|4,80
Жом свекловичный сухой.|91,450|1,312|1,200|2,93|4,80
Патока свекловичная, сах.49%,|79,500|1,761|1,400|3,94|5,60
