Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/ Т онна
с-с 25.03.25\5901.01.05.02.1.24 Аристово|32,000|12,500|4,000|25,22|16,01|2 880
с-с 21.03.25\5204.01.05.02.1.24 Болдасовка|39,700|7,809|3,100|15,76|12,41|3 573
с-ж 21.03.25\5110.01.08.01.1.24 Дурово|21,700|8,756|1,900|17,67|7,61|3 038
с-ж 21.03.25\4030.06.01.01.1.24 Детчино|50,100|2,495|1,250|5,03|5,00|7 014
Шрот соевый. 49%, ЭНАПКХ|89,750|3,343|3,000|6,74|12,01|47 400
Кукуруза. 70%,сухая, мелк. помол|87,540|1,257|1,100|2,54|4,40|14 320
Жом свекловичный сухой. гр, ЭНАПКХ v2|91,450|0,711|0,650|1,43|2,60|11 730
Патока свекловичная, сахар 55%|79,500|0,755|0,600|1,52|2,40|4 360
Жир защищеный. 99%, фракц.,ЭНАПКХ|99,500|0,302|0,300|0,61|1,20|173 620
КК №10|89,444|3,669|3,282|7,40|13,14|19 151
Пшеница. 55%, сухая.средн. помол|87,490|1,143|1,000|2,31|4,00|9 500
к-ж 23.12.24\5204.01.05.07.1.24 Болдасовка|57,900|4,318|2,500|8,71|10,01|6 369
Шрот рапсовый. 38%, ЭНАПКХ|91,800|2,505|2,300|5,06|9,21|20 950
