Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/Тонна
Солома пшеничная 2024|96,10|1,35|1,30|2,98|5,20|5 000,00
Сенаж 2201.02.01.01.2.24|38,60|8,42|3,25|18,58|13,00|4 632,00
Силос 2201.03.05.02.1.24|36,80|20,52|7,55|45,26|30,20|3 312,00
Шрот соевый. 47%, ЭНАПКХ|89,75|2,34|2,10|5,16|8,40|48 310,00
Шрот рапсовый. 38%, ЭНАПКХ|91,80|2,07|1,90|4,57|7,60|19 600,00
Кукуруза. 70%,сухая, мелк.|87,54|2,86|2,50|6,30|10,00|14 570,00
Кукуруза влажная, кр. 68%|62,70|1,59|1,00|3,52|4,00|12 213,96
Меласса свекловичная /патока|75,00|1,47|1,10|3,24|4,40|3 360,00
Комбиком №10 / 24.10.2024|91,28|4,71|4,30|10,39|17,20|20 935,18
