Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/килограмм
5100.01.05.02.1.24/20.05.25v2|34,100|17,595|6,000|36,16|24,00|3 000
5001.01.01.01.1.23/20.05.25|29,100|7,216|2,100|14,83|8,40|4 000
5100.01.10.01.1.24/22.04.25|28,700|4,181|1,200|8,59|4,80|4 000
Шрот соевый. 49%, ЭНАПКХ|89,750|3,565|3,200|7,33|12,80|46 000
5100.01.05.07.1.24/20.05.25|55,500|5,405|3,000|11,11|12,00|8 000
Ячмень.60%, сухой, средний|89,000|2,247|2,000|4,62|8,00|17 000
Шрот Рапсовый|89,000|1,573|1,400|3,23|5,60|22 000
Патока свекловичная, сахар|79,500|1,006|0,800|2,07|3,20|3 870
Жом свекловичный сухой.|91,450|0,820|0,750|1,69|3,00|10 000
Жир защищеный. 99%, фракц.,ЭНАПКХ|99,500|0,352|0,350|0,72|1,40|196 000
КК 10 Аристово 11.03.25|89,444|4,697|4,201|9,65|16,80|19 430
