Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/Tonne
С-с 4029.01.05.02.1.24 Уланово22.04.25|38,20|17,85|6,82|37,05|27,29|3438
С-ж 5701.01.01.01.1.24 Бушовка/22.04.25|32,20|15,65|5,04|32,48|20,16|4508
Кукуруза. 70%,сухая, мелк. помол, ЭНАПКХ|87,54|3,60|3,15|7,47|12,60|16470
Шрот соевый. 49%, ЭНАПКХ|89,75|3,45|3,10|7,17|12,40|49720
Шрот рапсовый. 38%, ЭНАПКХ|91,80|1,96|1,80|4,07|7,20|30980
Жом свекловичный сухой. гранула, ЭНАПКХ|91,45|0,87|0,80|1,82|3,20|12000
ККД10 Аристово/12.04.25|89,43|4,79|4,29|9,94|17,14|23140
