Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
с-с 6204.01.05.02.1.24|29,600|33,108|9,800|66,31|51,39
с-ж 6204.06.01.01.2.24|36,000|3,889|1,400|7,79|7,34
c-ж 6204.01.12.01.1.24|25,100|5,976|1,500|11,97|7,87
Шрот рапсовый. 38%|91,800|1,416|1,300|2,84|6,82
Шрот подсолнечный. 38%|92,200|2,495|2,300|5,00|12,06
Жом свекловичный сухой.|91,450|0,765|0,700|1,53|3,67
Премикс дойный Б. 07.23|99,000|0,152|0,150|0,30|0,79
Соль. ЭНАПКХ|99,850|0,170|0,170|0,34|0,89
Мел. ЭНАПКХ|99,200|0,050|0,050|0,10|0,26
Ячмень.61%, сухой, средний помол, ЭНАПКХ|89,000|1,910|1,700|3,83|8,91
