Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
Силос 3637.05.05.02.1.23|19,605|32,900|6,450|41,29|25,80
Люцерна 3637.04.01.01.3.24|6,343|40,200|2,550|13,36|10,20
Тритикале 3637.02.12.01.1.24|4,921|25,400|1,250|10,36|5,00
Патока свекловичная, сахар|1,660|79,500|1,320|3,50|5,28
Шрот соевый. 49%, ЭНАПКХ|3,343|89,750|3,000|7,04|12,00
Шрот рапсовый. 38%, ЭНАПКХ|1,307|91,800|1,200|2,75|4,80
Жом свекловичный сухой. гр|1,290|91,450|1,180|2,72|4,72
Кукуруза. 70%,сухая средн. помол, ЭНАПКХ|5,655|87,540|4,950|11,91|19,80
Комбикорм 11.3.3 (без пшен.) _Сентябрь 09.09.24|3,361|92,246|3,100|7,08|12,40
Общие значения| |47,485|25,000| |52,6 %СВ
