Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/кг
Сено люцерна ЛБ 2025|81,800|4,279|3,500|9,58|14,58|12 320
С-Ж 2262.03.01.01.2.24/14.06.25|38,200|12,984|4,960|29,06|20,67|5 348
Жмых рапсовый. 36%, ЭНАПКХ|95,000|2,316|2,200|5,18|9,17|23 410
Кукуруза. 70%,сухая, мелк. помол,|87,540|3,427|3,000|7,67|12,50|13 550
Жом свекловичный сухой. гр, ЭНАПКХ v2|91,450|0,875|0,800|1,96|3,33|10 000
Соль. ЭНАПКХ|99,850|0,090|0,090|0,20|0,37|12 170
Премикс дойный А. 12.23 ЭНАПКХ|99,000|0,152|0,150|0,34|0,63|122 620
Патока свекловичная, сах.49%,  ЭНАПКХ v2|79,500|1,258|1,000|2,82|4,17|3 060
С-С 2262.04.05.02.1.24/14.06.25|43,000|19,302|8,300|43,20|34,58|3 870
