Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/Тонна
1630.17.05.07.1.24/01.07.25|67,700|2,216|1,500|5,32|6,00|9 478
1630.07.02.01.1.24/01.07.25|36,400|4,533|1,650|10,88|6,60|5 096
1630.03.01.01.1.24/01.07.25|47,700|9,434|4,500|22,63|18,00|6 678
1630.10.05.02.1.23/01.07.25|40,700|11,351|4,620|27,23|18,48|3 663
Жом свекловичный сухой.|91,450|1,640|1,500|3,94|6,00|4 700
Кукуруза. 70%,сухая средн.|87,540|3,256|2,850|7,81|11,40|15 000
Шрот рапсовый. 44%, ЭНАПКХ|91,800|1,743|1,600|4,18|6,40|35 270
Шрот соевый. 49%, ЭНАПКХ|89,750|2,563|2,300|6,15|9,20|43 620
КК10/03.05.25|90,598|4,945|4,480|11,86|17,92|33 324
