Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/кг
С-Ж 2241.03.04.01.1.23 / 05.01.25|45,800|1,092|0,500|2,29|2,08|6 412
С-Ж 2242.02.01.01.1.24 / 05.01.25|32,300|10,279|3,320|21,57|13,83|4 522
КК 10 От 17.09.24 ячмень|92,397|2,652|2,450|5,56|10,21|46 301
Шрот соевый. 47%, ЭНАПКХ|89,750|1,226|1,100|2,57|4,58|44 050
Жмых рапсовый. 36%, ЭНАПКХ|95,000|3,158|3,000|6,63|12,50|30 420
Кукуруза. 70%,сухая, мелк. помол,|87,540|4,569|4,000|9,59|16,67|16 780
Жом свекловичный сухой. гр, ЭНАПКХ v2|91,450|1,017|0,930|2,13|3,88|10 000
Патока свекловичная, сах.49%,  ЭНАПКХ v2|79,500|1,635|1,300|3,43|5,42|4 600
С-С 2242.01.05.02.1.24 / 05.01.25|33,600|22,024|7,400|46,22|30,83|3 024
