Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ|₽/кг
Сено луговое ЛБ|88,900|2,373|2,110|4,28|8,79|10
Кукуруза. 70%,сухая, мелк. помол,|87,540|3,141|2,750|5,67|11,46|13
Жмых рапсовый. 36%, ЭНАПКХ|95,000|3,579|3,400|6,45|14,17|23
Патока свекловичная, сах.49%, ЭНАПКХ|79,500|1,006|0,800|1,81|3,33|3
Жом свекловичный сухой. гр, ЭНАПКХ v2|91,450|0,875|0,800|1,58|3,33|10
Соль. ЭНАПКХ|99,850|0,090|0,090|0,16|0,37|11
Премикс дойный А. 12.23 ЭНАПКХ|99,000|0,152|0,150|0,27|0,63|111
С-С 2392.07.05.02.1.24 \ 12.03.25|38,200|22,513|8,600|40,60|35,83|3
С-С 2241.04.05.02.1.24 СР|24,400|21,721|5,300|39,17|22,08|2
