Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
Силос 3636.07.05.02.1.24|19,200|32,500|6,240|40,84|24,96
Люцерна 3637.04.01.01.3.24|35,800|6,285|2,250|13,37|9,00
Тритикале 3636.01.12.01.1.24|29,000|4,345|1,260|9,24|5,04
Патока свекловичная, сахар|79,500|1,635|1,300|3,48|5,20
Шрот соевый. 49%, ЭНАПКХ|89,750|3,120|2,800|6,64|11,20
Шрот рапсовый. 38%, ЭНАПКХ|91,800|1,580|1,450|3,36|5,80
Соевая оболочка ЭНАПКХ|90,200|1,774|1,600|3,77|6,40
Кукуруза. 70%,сухая средн. помол, ЭНАПКХ|87,540|5,712|5,000|12,15|20,00
Комбикорм 11.3.3 (без пшен.) _Сентябрь 09.09.24|92,246|3,361|3,100|7,15|12,40
Общие значения||47,010|25,000||53,2 %СВ
