Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
Солома ЭНА Восточное|82,990|1,566|1,300|4,54|7,22
Силос 3636.07.05.02.1.24|32,500|15,385|5,000|44,56|27,78
Люцерна 3637.04.01.01.3.24|35,800|4,246|1,520|12,30|8,44
Тритикале 3636.01.12.01.1.24|29,000|2,828|0,820|8,19|4,56
Патока свекловичная, сахар|79,500|0,881|0,700|2,55|3,89
Шрот соевый. 49%, ЭНАПКХ|89,750|2,540|2,280|7,36|12,67
Шрот рапсовый. 38%, ЭНАПКХ|91,800|1,057|0,970|3,06|5,39
Соевая оболочка ЭНАПКХ|90,200|0,776|0,700|2,25|3,89
Кукуруза. 70%,сухая средн. помол, ЭНАПКХ|87,540|2,810|2,460|8,14|13,67
Комбикорм 11.3.3 (без пшен.) _Сентябрь 09.09.24|92,246|2,439|2,250|7,06|12,50
Общие значения||34,527|18,000||52,1 %СВ
