Ингредиенты|СВ %|ГП кг|СВ кг|% ГП|% СВ
3638.02.01.01.3.24 CP 38,200|38,200|9,162|3,500|19,74|14,00
3635.05.05.02.1.24 /05.06.24 31,900|31,900|20,376|6,500|43,89|26,00
Кукуруза. 70%,сухая средн.|87,540|5,141|4,500|11,07|18,00
Шрот соевый. 49%, ЭНАПКХ|89,750|3,120|2,800|6,72|11,20
Шрот рапсовый. 38%, ЭНАПКХ|91,800|1,307|1,200|2,82|4,80
Комбикорм №11 ЭНАС|92,249|3,360|3,100|7,24|12,40
Жом свекловичный сухой.|91,450|1,422|1,300|3,06|5,20
Соевая оболочка ЭНАПКХ|90,200|0,776|0,700|1,67|2,80
Патока свекловичная, сах.49%, ЭНАПКХ v|279,500|1,761|1,400|3,79|5,60
