ЧЭЛ 3x NRC (МДжоуль/кг)|7,3694|МДжоуль
СП (%)|16,6482|%
Крахмал (%)|29,0854|%
RD Крахмал 3xУровень 1 (%)|22,9667|%
Сахар (ВРУ) (%)|6,4498|%
НСУ (%)||
НВУ (%)|46,4800|%
aNDFom (%)|25,1143|%
CHO B3 pdNDF (%)||
Растворимая клетчатка (%)|8,1229|%
aNDFom фуража (%)|15,3334|%
peNDF (%)|16,5945|%
CHO B3 медленная фракция (%)||
CHO C uNDF (%)|6,5216|%
СЖ (%)|4,0024|%
ОЖК (%)|3,3446|%
K (%)|1,4216|%
